the 0 46529
and 1 30692
i 2 29126
a 3 25150
to 4 21191
it 5 14512
of 6 14457
was 7 13736
is 8 12120
for 9 10743
in 10 10401
that 11 8885
you 12 8318
my 13 7768
with 14 7584
but 15 7496
this 16 7217
they 17 6992
s 18 6682
on 19 6476
we 20 6380
t 21 6211
have 22 5995
not 23 5317
had 24 5042
are 25 5030
good 26 4731
so 27 4729
place 28 4648
at 29 4521
food 30 4304
were 31 4113
as 32 3968
there 33 3938
be 34 3937
great 35 3617
like 36 3499
if 37 3345
all 38 3286
me 39 3228
out 40 3196
just 41 3160
very 42 3096
here 43 3072
one 44 2856
or 45 2786
can 46 2770
get 47 2702
their 48 2701
from 49 2588
up 50 2519
go 51 2501
when 52 2419
time 53 2417
our 54 2396
really 55 2385
about 56 2324
some 57 2274
service 58 2207
what 59 2156
would 60 2143
an 61 2071
your 62 2042
back 63 2015
which 64 2014
been 65 2014
more 66 1868
ve 67 1784
only 68 1774
also 69 1767
don 70 1753
no 71 1743
will 72 1741
by 73 1715
m 74 1619
too 75 1610
love 76 1605
nice 77 1557
has 78 1544
little 79 1539
well 80 1520
other 81 1501
because 82 1463
them 83 1425
always 84 1418
do 85 1390
than 86 1384
even 87 1365
he 88 1353
us 89 1333
best 90 1332
she 91 1302
after 92 1299
pretty 93 1284
got 94 1273
chicken 95 1230
much 96 1224
restaurant 97 1209
try 98 1203
menu 99 1166
ordered 100 1161
people 101 1139
first 102 1120
know 103 1114
could 104 1102
order 105 1100
over 106 1098
think 107 1098
friendly 108 1083
bar 109 1079
am 110 1076
went 111 1073
make 112 1069
staff 113 1059
never 114 1050
didn 115 1046
did 116 1042
off 117 1040
then 118 1039
better 119 1038
night 120 1035
who 121 1024
way 122 1022
re 123 1020
going 124 990
how 125 984
right 126 976
cheese 127 974
2 128 973
pizza 129 950
made 130 945
delicious 131 944
few 132 942
two 133 941
say 134 926
came 135 918
now 136 915
want 137 902
salad 138 898
come 139 887
5 140 880
lunch 141 880
sauce 142 872
again 143 872
any 144 867
new 145 864
take 146 857
still 147 847
fresh 148 847
3 149 833
